Identifier,Coordinate,Family,Common_Name,SubCellular,SubOrganellar
AT1G73410,p01-r11-c23,MYB,ATMYB54,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G30180,p01-r11-c24,bHLH,AT4G30180,Nucleus,Chromosome
AT3G58630,p01-r12-c01,TRIHELIX,AT3G58630,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G47260,p01-r12-c02,WRKY,ATWRKY23,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G38880,p01-r12-c03,CCAAT,ATNF-YB1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G75390,p01-r12-c04,bZIP,bZIP44,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G47370,p01-r12-c05,HB,HAT2,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G62920,p01-r12-c06,Orphans,ARR6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G45420,p01-r12-c07,MYB,maMYB,Endoplasmic,Endoplasmic reticulum membrane
AT3G54390,p01-r12-c08,TRIHELIX,AT3G54390,Nucleus,Chromosome
AT3G25710,p01-r12-c09,bHLH,BHLH32,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G30650,p01-r12-c10,WRKY,AR411,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G42780,p01-r12-c11,zf-HD,ZHD13,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G60200,p01-r12-c12,C2C2-DOF,TMO6,Nucleus,Chromosome
AT5G04390,p01-r12-c13,C2H2,AT5G04390,Nucleus,Nucleus speckle; Chromosome
AT5G65410,p01-r12-c14,zf-HD,ZFHD2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G69120,p01-r12-c15,MADS,AP1,Nucleus,Chromosome
AT3G50750,p01-r12-c16,BES1,BEH1,Nucleus,Chromosome
AT4G16141,p01-r12-c17,C2C2-GATA,GATA17L,Nucleus,Chromosome
AT3G46640,p01-r12-c18,G2-like,LUX,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT3G02790,p01-r12-c19,C2H2,MBS1,Nucleus,"Nucleus, nucleolus"
AT1G72830,p01-r12-c20,CCAAT,ATHAP2C,Plastid,"Plastid, chloroplast stroma"
AT5G28770,p01-r12-c21,bZIP,AtbZIP63,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G41570,p01-r12-c22,WRKY,WRKY24,Nucleus,Chromosome
AT2G41940,p01-r12-c23,C2H2,ZFP8,Nucleus,Chromosome
AT5G43700,p01-r12-c24,AUX-IAA,IAA4,Nucleus,Chromosome
AT3G04450,p01-r13-c01,G2-like,AT3G04450,Nucleus,Nucleus speckle; Chromosome
AT5G03790,p01-r13-c02,HB,ATHB51,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Nucleus, PML body; Chromosome"
AT2G20400,p01-r13-c03,G2-like,AT2G20400,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G26590,p01-r13-c04,C2H2,AT1G26590,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G60250,p01-r13-c05,Orphans,BBX26,Nucleus,Chromosome
AT1G26610,p01-r13-c06,C2H2,AT1G26610,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G39070,p01-r13-c07,Orphans,BZS1,Nucleus,Chromosome
AT1G51220,p01-r13-c08,C2H2,AtWIP5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G01060,p01-r13-c09,MYB-related,LHY1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G26940,p01-r13-c10,C2H2,AT2G26940,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G28920,p01-r13-c11,ND,AT2G28920,Golgi_apparatus,Golgi apparatus membrane
AT3G10470,p01-r13-c12,C2H2,AT3G10470,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G31580,p01-r13-c13,ND,SRZ-22,Nucleus,"Nucleus, nucleoplasm; Nucleus speckle"
AT5G22990,p01-r13-c14,C2H2,AT5G22990,Nucleus,Chromosome
AT4G21040,p01-r13-c15,C2C2-DOF,DOF4.3,Nucleus,Chromosome
AT4G01720,p01-r13-c16,WRKY,WRKY47,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G52440,p01-r13-c17,C2C2-DOF,AT3G52440,Nucleus,Chromosome
AT5G15130,p01-r13-c18,WRKY,ATWRKY72,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G21340,p01-r13-c19,C2C2-DOF,AT1G21340,Nucleus,Chromosome
AT3G27650,p01-r13-c20,LOB,LBD25,Mitochondrion,Mitochondrion inner membrane
AT2G17900,p01-r13-c21,ND,ASHR1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G05710,p01-r13-c22,ND,AT1G05710,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G31680,p01-r13-c23,ABI3-VP1,AT4G31680,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT3G13445,p01-r13-c24,ND,TFIID-1,Nucleus,Chromosome
AT5G60850,p01-r14-c01,C2C2-DOF,AtDOF5.4,Nucleus,Chromosome
AT5G24110,p01-r14-c02,WRKY,WRKY30,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G49530,p01-r14-c03,NAC,ANAC062,Membrane,Cell membrane
AT3G45610,p01-r14-c04,C2C2-DOF,DOF6,Nucleus,Chromosome
AT4G30935,p01-r14-c05,WRKY,WRKY32,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G38340,p01-r14-c06,AP2-EREBP,DREB19,Nucleus,Chromosome
AT3G51960,p01-r14-c07,bZIP,ATBZIP24,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G11660,p01-r14-c08,HSF,HSFB2B,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G45800,p01-r14-c09,LIM,PLIM2a,Cytoplasm,"Cytoplasm, cytoskeleton"
AT1G14900,p01-r14-c10,ND,HMGA,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G30500,p01-r14-c11,CCAAT,NF-YA7,Nucleus,Chromosome
AT5G65790,p01-r14-c12,MYB,ATMYB68,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G66140,p01-r14-c13,C2H2,ZFP4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G26260,p01-r14-c14,bHLH,CIB5,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G78700,p01-r14-c15,BES1,BEH4,Nucleus,Chromosome
AT3G49940,p01-r14-c16,LOB,LBD38,Nucleus,Chromosome
AT3G50260,p01-r14-c17,AP2-EREBP,DEAR1,Nucleus,Chromosome
AT1G66470,p01-r14-c18,bHLH,RHD6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G51880,p01-r14-c19,HMG,HMGB1,Nucleus,Chromosome
AT5G07680,p01-r14-c20,NAC,NAC080,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G13180,p01-r14-c21,NAC,VNI2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G60390,p01-r14-c22,HB,HAT3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT2G30580,p01-r14-c23,ND,DRIP2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G24590,p01-r14-c24,NAC,ANAC091,Membrane,Cell membrane
AT3G11580,p01-r15-c01,ABI3-VP1,SOD7,Nucleus,Chromosome
AT1G06040,p01-r15-c02,Orphans,BBX24,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G44910,p01-r15-c03,HB,HB4,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT2G36930,p01-r15-c04,C2H2,AT2G36930,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G20700,p01-r15-c05,HB,WOX14,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G19290,p01-r15-c06,bZIP,AtAREB2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G52020,p01-r15-c07,AP2-EREBP,AT5G52020,Nucleus,Chromosome
AT2G40620,p01-r15-c08,bZIP,bZIP18,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT4G06746,p01-r15-c09,AP2-EREBP,RAP2.9,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G33550,p01-r15-c10,TRIHELIX,ASR3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G64380,p01-r15-c11,AP2-EREBP,AT1G64380,Nucleus,Chromosome
AT3G13040,p01-r15-c12,G2-like,AT3G13040,Nucleus,Chromosome
AT3G25890,p01-r15-c13,AP2-EREBP,CRF11,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G51080,p01-r15-c14,C2C2-GATA,GATA6,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G61910,p01-r15-c15,NAC,NAC066,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G08290,p01-r15-c16,C2H2,WIP3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G44350,p01-r15-c17,NAC,ANAC061,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G31380,p01-r15-c18,Orphans,BBX25,Nucleus,Chromosome
AT1G35515,p01-r15-c19,MYB,MYB8,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G21200,p01-r15-c20,TRIHELIX,AT1G21200,Nucleus,Chromosome
AT1G17310,p01-r15-c21,MADS,AT1G17310,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G13260,p01-r15-c22,AP2-EREBP,AtRAV1,Nucleus,Chromosome
AT3G53340,p01-r15-c23,CCAAT,NF-YB10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G74840,p01-r15-c24,MYB-related,AT1G74840,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G18670,p01-r16-c01,ND,AT2G18670,Membrane,Cell membrane
AT2G01570,p01-r16-c02,GRAS,RGA,Nucleus,Chromosome
AT3G61550,p01-r16-c03,ND,AT3G61550,Membrane,Cell membrane
AT2G42200,p01-r16-c04,SBP,SPL9,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G06200,p01-r16-c05,GRF,GRF6,Nucleus,Chromosome
AT5G63790,p01-r16-c06,NAC,NAC102,Nucleus,Chromosome
AT1G69780,p01-r16-c07,HB,ATHB13,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Nucleus, PML body; Chromosome"
AT2G30250,p01-r16-c08,WRKY,WRKY25,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G08970,p01-r16-c09,CCAAT,NF-YC9,Nucleus,Chromosome
AT4G01580,p01-r16-c10,ABI3-VP1,AT4G01580,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G10030,p01-r16-c11,TRIHELIX,AT3G10030,Cytoplasm,"Cytoplasm, cytoskeleton"
AT4G00850,p01-r16-c12,GIF,GIF3,Nucleus,Chromosome
AT1G27370,p01-r16-c13,SBP,SPL10,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G19280,p01-r16-c14,FHA,RAG1,Secreted,"Secreted, extracellular space"
AT3G20310,p01-r16-c15,AP2-EREBP,ERF7,Nucleus,Nucleus speckle; Chromosome
AT3G62690,p01-r16-c16,ND,ATL5,Membrane,Cell membrane
AT1G13300,p01-r16-c17,G2-like,HRS1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G09370,p01-r16-c18,MYB,MYB3R-3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G11200,p01-r16-c19,ALFIN-like,AL2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G45050,p01-r16-c20,C2C2-GATA,GATA2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G04030,p01-r16-c21,G2-like,MYR2,Nucleus,Chromosome
AT1G76710,p01-r16-c22,SET,ASHH1,Nucleus,Chromosome
AT3G12730,p01-r16-c23,G2-like,AT3G12730,Nucleus,Nucleus speckle; Chromosome
AT2G17560,p01-r16-c24,HMG,NFD4,NucleusCytoplasm,"Chromosome; Cytoplasm, cytosol"
AT2G01650,p02-r01-c01,C2H2,PUX2,Cytoplasm,"Cytoplasm, cytoskeleton"
AT5G51780,p02-r01-c02,bHLH,AT5G51780,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G47640,p02-r01-c03,bHLH,PYE,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G14580,p02-r01-c04,C2H2,AT1G14580,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT3G03750,p02-r01-c05,SET,SUVR3,Nucleus,Chromosome
AT4G38000,p02-r01-c06,C2C2-DOF,DOF4.7,Nucleus,Chromosome
AT4G11070,p02-r01-c07,WRKY,WRKY41,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G31220,p02-r01-c08,bHLH,bHLH010,Nucleus,"Nucleus, nucleolus; Nucleus, PML body; Chromosome"
AT1G51600,p02-r01-c09,C2C2-GATA,ZML2,Nucleus,Chromosome
AT1G19210,p02-r01-c10,AP2-EREBP,ERF017,Nucleus,Chromosome
AT5G29000,p02-r01-c11,G2-like,PHL1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G57560,p02-r01-c12,MYB,MYB50,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G38960,p02-r01-c13,Orphans,BBX19,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G29160,p02-r01-c14,C2C2-DOF,COG1,Nucleus,Chromosome
AT3G20670,p02-r01-c15,CCAAT,HTA13,Nucleus,Chromosome
AT5G06950,p02-r01-c16,bZIP,AtTGA2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G34410,p02-r01-c17,AP2-EREBP,ERF109,Nucleus,Chromosome
AT1G17460,p02-r01-c18,MYB-related,TRFL3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G02060,p02-r01-c19,G2-like,AT2G02060,Nucleus,Chromosome
AT2G44940,p02-r01-c20,AP2-EREBP,AT2G44940,Nucleus,Chromosome
AT4G09180,p02-r01-c21,bHLH,FBH2,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G10120,p02-r01-c22,bHLH,CIB4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G25400,p02-r01-c23,bHLH,AT4G25400,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G50700,p02-r01-c24,C2H2,AtIDD2,Nucleus,Nucleus speckle; Chromosome
AT5G43170,p02-r02-c01,C2H2,AZF3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G34720,p02-r02-c02,CCAAT,NF-YA4,Nucleus,Chromosome
AT1G59940,p02-r02-c03,Orphans,ARR3,Nucleus,Chromosome
AT1G74930,p02-r02-c04,AP2-EREBP,ORA47,Nucleus,Chromosome
AT4G11140,p02-r02-c05,AP2-EREBP,CRF1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G55730,p02-r02-c06,MYB,AtMYB109,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G00050,p02-r02-c07,bHLH,UNE10,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G66730,p02-r02-c08,C2H2,ENY,Nucleus,"Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G04890,p02-r02-c09,GRAS,SCL21,Nucleus,Chromosome
AT1G56170,p02-r02-c10,CCAAT,HAP5B,Nucleus,Chromosome
AT5G13910,p02-r02-c11,AP2-EREBP,LEP,Nucleus,Chromosome
AT3G16500,p02-r02-c12,AUX-IAA,PAP1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G01780,p02-r02-c13,LIM,PLIM2b,Cytoplasm,"Cytoplasm, cytoskeleton"
AT2G24790,p02-r02-c14,C2C2-CO-like,BBX4,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G77250,p02-r02-c15,PHD,AT1G77250,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G53420,p02-r02-c16,Orphans/,AT5G53420,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G24260,p02-r02-c17,bHLH,LRL1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G49450,p02-r02-c18,bZIP,bZIP1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT2G25620,p02-r02-c19,DBP,DBP1,Cytoplasm,"Cytoplasm, cytoskeleton; Cytoplasm, cytosol"
AT4G01680,p02-r02-c20,MYB,AtMYB55,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G61590,p02-r02-c21,AP2-EREBP,DEWAX,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G63470,p02-r02-c22,CCAAT,NF-YC4,Nucleus,Chromosome
AT5G54070,p02-r02-c23,HSF,HSFA9,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G20880,p02-r02-c24,AP2-EREBP,AtERF53,Nucleus,Chromosome
AT4G28110,p02-r03-c01,MYB,MYB41,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G23250,p02-r03-c02,MYB,MYB15,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G22850,p02-r03-c03,bZIP,AtbZIP6,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G69810,p02-r03-c04,WRKY,ATWRKY36,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G69490,p02-r03-c05,NAC,NAP,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G13600,p02-r03-c06,bZIP,AtbZIP58,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT3G53200,p02-r03-c07,MYB,AtMYB27,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G50480,p02-r03-c08,CCAAT,NF-YC6,NucleusCytoplasm,"Chromosome; Cytoplasm, cytosol"
AT5G59820,p02-r03-c09,C2H2,ZAT12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G45249,p02-r03-c10,bZIP,AtABF2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G47120,p02-r03-c11,C3H,AT3G47120,Nucleus,"Nucleus, nucleoplasm; Nucleus speckle"
AT2G36270,p02-r03-c12,bZIP,DPBF1,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT4G31420,p02-r03-c13,C2H2,REIL1,Nucleus,Chromosome
AT5G60970,p02-r03-c14,TCP,TCP5,Nucleus,Chromosome
AT1G22190,p02-r03-c15,AP2-EREBP,RAP2.4,Nucleus,Chromosome
AT5G61600,p02-r03-c16,AP2-EREBP,ERF104,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Chromosome"
AT1G80840,p02-r03-c17,WRKY,ATWRKY40,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G14560,p02-r03-c18,AUX-IAA,AXR5,Nucleus,Chromosome
AT1G46480,p02-r03-c19,HB,WOX4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G49720,p02-r03-c20,bZIP,ABF1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G67100,p02-r03-c21,LOB,LBD40,Nucleus,Chromosome
AT2G46770,p02-r03-c22,NAC,NST1,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G46870,p02-r03-c23,ABI3-VP1,NGA1,Nucleus,Chromosome
AT2G35530,p02-r03-c24,bZIP,AtbZIP16,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Nucleus, PML body; Chromosome"
AT3G49850,p02-r04-c01,MYB-related,TRB3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G28910,p02-r04-c02,MYB,MYB30,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G16430,p02-r04-c03,bHLH,JAM3,Nucleus,"Nucleus, nucleolus; Chromosome"
AT2G21230,p02-r04-c04,bZIP,bZIP30,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G25160,p02-r04-c05,C2H2,ZFP3,Nucleus,Chromosome
AT4G36240,p02-r04-c06,C2C2-GATA,GATA7,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G25580,p02-r04-c07,NAC,SOG1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G65210,p02-r04-c08,bZIP,TGA1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G21450,p02-r04-c09,GRAS,SCL1,Nucleus,Chromosome
AT3G48590,p02-r04-c10,CCAAT,HAP5A,Nucleus,Chromosome
AT3G02830,p02-r04-c11,C3H,ZFN1,Nucleus,Nucleus speckle; Chromosome
AT5G54230,p02-r04-c12,MYB,MYB49,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G07740,p02-r04-c13,MYB-related,HAC10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G47500,p02-r04-c14,C2C2-DOF,CDF3,Nucleus,Chromosome
AT3G61830,p02-r04-c15,ARF,ARF18,Nucleus,Chromosome
AT5G58850,p02-r04-c16,MYB,MYB119,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G44080,p02-r04-c17,bZIP,AT5G44080,Nucleus,Chromosome
AT2G20825,p02-r04-c18,ULT,ULT2,Nucleus,Chromosome
AT3G61460,p02-r04-c19,ND,BRH1,Golgi_apparatus,Golgi apparatus membrane
AT5G39860,p02-r04-c20,bHLH,BHLH136,Nucleus,Chromosome
AT1G47870,p02-r04-c21,E2F-DP,E2FC,Nucleus,"Nucleus, nucleolus"
AT2G16210,p02-r04-c22,ABI3-VP1,REM24,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G27650,p02-r04-c23,C3H,ATU2AF35A,Nucleus,Nucleus speckle
AT1G31630,p02-r04-c24,MADS,AGL86,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G66320,p02-r05-c01,C2C2-GATA,GATA5,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G16560,p02-r05-c02,G2-like,KAN,Nucleus,Nucleus speckle; Chromosome
AT4G11080,p02-r05-c03,HMG,3xHMG-box1,Nucleus,"Nucleus, nucleolus; Chromosome"
AT5G53950,p02-r05-c04,NAC,CUC2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G78080,p02-r05-c05,AP2-EREBP,AtWIND1,Nucleus,Chromosome
AT5G43290,p02-r05-c06,WRKY,WRKY49,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G37000,p02-r05-c07,TCP,AT2G37000,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G73830,p02-r05-c08,bHLH,BEE3,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G21150,p02-r05-c09,Orphans,AtBBX32,Nucleus,Chromosome
AT3G21330,p02-r05-c10,bHLH,AT3G21330,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT3G16770,p02-r05-c11,AP2-EREBP,ERF72,Membrane,Cell membrane
AT1G08010,p02-r05-c12,C2C2-GATA,GATA11,Nucleus,Chromosome
AT1G54330,p02-r05-c13,NAC,NAC020,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G67110,p02-r05-c14,bHLH,ALC,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus speckle; Chromosome"
AT1G08000,p02-r05-c15,C2C2-GATA,GATA10,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G66230,p02-r05-c16,MYB,MYB20,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT4G36540,p02-r05-c17,bHLH,BEE2,Nucleus,Chromosome
AT1G02210,p02-r05-c18,NAC,AT1G02210,Nucleus,Chromosome
AT1G53170,p02-r05-c19,AP2-EREBP,ATERF-8,Nucleus,Chromosome
AT1G62975,p02-r05-c20,bHLH,AT1G62975,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT1G26960,p02-r05-c21,HB,AtHB23,Nucleus,"Nucleus, nucleolus; Nucleus, nucleoplasm; Nucleus membrane; Nucleus speckle; Nucleus, PML body; Chromosome"
AT1G71260,p02-r05-c22,PBF-2-like,WHY2,Mitochondrion,Mitochondrion inner membrane
AT4G37790,p02-r05-c23,HB,HAT22,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT2G35910,p02-r05-c24,ND,AT2G35910,Endoplasmic,Endoplasmic reticulum membrane
AT5G16470,p02-r06-c01,C2H2,MBS2,Nucleus,"Nucleus, nucleolus"
AT1G75520,p02-r06-c02,SRS,SRS5,Nucleus,Nucleus speckle; Chromosome
AT1G58100,p02-r06-c03,TCP,TCP8,Nucleus,"Nucleus, nucleolus; Chromosome"
AT3G16160,p02-r06-c04,CPP,AT3G16160,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G10350,p02-r06-c05,NAC,BRN2,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT2G01370,p02-r06-c06,GeBP,AT2G01370,Nucleus,"Nucleus, nucleolus"
AT3G20910,p02-r06-c07,CCAAT,NF-YA9,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G68240,p02-r06-c08,bHLH,AT1G68240,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Nucleus, PML body; Chromosome"
AT5G56860,p02-r06-c09,C2C2-GATA,GNC,Nucleus,Chromosome
AT2G02540,p02-r06-c10,zf-HD,ZFHD4,Nucleus,"Nucleus, nucleolus; Nucleus speckle; Chromosome"
AT5G66160,p02-r06-c11,ND,ATRMR1,Golgi_apparatus,Golgi apparatus membrane
AT1G19790,p02-r06-c12,SRS,SRS7,Nucleus,Chromosome
AT5G20900,p02-r06-c13,ZIM,JAZ12,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G48500,p02-r06-c14,ZIM,AtJAZ4,Nucleus,Chromosome
AT3G23690,p02-r06-c15,bHLH,CIL2,Nucleus,Nucleus speckle; Chromosome
AT4G18770,p02-r06-c16,MYB,AtMYB98,Nucleus,"Nucleus, nucleolus; Chromosome"
AT1G74410,p02-r06-c17,ND,AT1G74410,Plastid,"Plastid, chloroplast thylakoid membrane"
AT4G27330,p02-r06-c18,NOZZLE,NZZ,Nucleus,Chromosome
AT5G23090,p02-r06-c19,CCAAT,NF-YB13,Nucleus,"Nucleus, nucleolus; Chromosome"
AT4G00130,p02-r06-c20,GeBP,AT4G00130,Mitochondrion,Mitochondrion inner membrane; Mitochondrion matrix
AT3G27940,p02-r06-c21,LOB,LBD26,Mitochondrion,Mitochondrion inner membrane
